id,type,question,options,correct_answers,explanation,image
1,single,"Bạn là trợ lý huấn luyện của một giải bóng đá dành cho người lớn. Bạn thu thập thông tin đăng kí của mỗi cầu thủ, Bạn quyết định tạo một danh sách liên hệ của đội. Thông tin nào sau đây của cầu thủ mà bạn KHÔNG ĐƯỢC chia sẻ khi chưa có sự đồng ý của cầu thủ?",Tên cầu thủ và vị trí của cầu thủ trong đội|Họ và tên của cầu thủ|Các chứng dị ứng của cầu thủ|Thành phố mà cầu thủ đang cư trú,Các chứng dị ứng của cầu thủ,"Tiền sử bệnh án và các chứng dị ứng là thông tin sức khỏe cá nhân nhạy cảm, tuyệt đối không được tự ý công khai trong danh bạ chung khi chưa được phép.",
2,matrix,"Bạn làm việc cho một công ty thiết kế kiến trúc vào ban ngày và tham gia lớp học thiết kế tại trường cao đẳng cộng đồng vào buổi tối. Bạn có các tài khoản Email được cung cấp bởi công ty và trường học. Bạn sử dụng tài khoản Gmail để nhận và gửi Email cho các việc cá nhân. Bạn cần gửi một Email có chứa các thông tin riêng tư. Bạn không muốn công ty hay trường học biết đến Email này. Với mỗi phát biểu sau đây, hãy chọn Có nếu công ty hoặc nhà trường sẽ biết nội dung Email. Ngược lại, hãy chọn Không.",COLS: Có | Không /// ROWS: Gửi Email từ một chiếc điện thoại thông minh sử dụng tài khoản Email của công ty cấp | Gửi Email từ một máy tính tại nơi làm việc sử dụng tài khoản Email của công ty | Gửi Email từ một máy tính cá nhân sử dụng tài khoản Email của trường | Gửi Email từ một máy tính của trường sử dụng tài khoản Email cá nhân,Gửi Email từ một chiếc điện thoại thông minh sử dụng tài khoản Email của công ty cấp: Có | Gửi Email từ một máy tính tại nơi làm việc sử dụng tài khoản Email của công ty: Có | Gửi Email từ một máy tính cá nhân sử dụng tài khoản Email của trường: Có | Gửi Email từ một máy tính của trường sử dụng tài khoản Email cá nhân: Có,Sử dụng tài khoản cơ quan/trường học hoặc dùng thiết bị/mạng máy tính của trường đều bị kiểm soát bởi hệ thống giám sát mạng và lưu vết lịch sử truy cập.,
3,matrix,"Một trách nhiệm của việc trở thành một công dân kĩ thuật số tốt là báo cáo hành vi nguy hiểm, bất hợp pháp hoặc có hại. Chọn Đúng nếu hành vi nguy hiểm, bất hợp pháp hoặc có hại hoặc chọn Sai nếu không","COLS: Đúng | Sai /// ROWS: Sau khi lướt qua một vài trang Web chơi game, một trang bật lên (Pops Up) trên màn hình máy tính của bạn yêu cầu trả tiền để mở khóa máy tính của bạn | Yêu cầu bạn phải tạo một tài khoản để truy cập các chương trình giảm giá đặc biệt trên trang Web sản phẩm. Tài khoản muốn tên, địa chỉ, điện thoại và ngày sinh của bạn | Tạo nhiều hồ sơ trên một trang mạng xã hội - một hồ sơ cho mục đích cá nhân của bạn và một hồ sơ cho mục đích kinh doanh | Bạn nhận được một Email thông báo rằng tài khoản ngân hàng của bạn đã bị xâm phạm và hướng dẫn bạn nhấp vào một liên kết trong Email để đăng nhập và chứng minh đó là tài khoản của bạn | Nếu một cá nhân tận mắt chứng kiến hành vi nguy hiểm, bất hợp pháp hoặc gây hại, thì hành động thích hợp là báo cho nhà chức trách.","Sau khi lướt qua một vài trang Web chơi game, một trang bật lên (Pops Up) trên màn hình máy tính của bạn yêu cầu trả tiền để mở khóa máy tính của bạn: Đúng | Yêu cầu bạn phải tạo một tài khoản để truy cập các chương trình giảm giá đặc biệt trên trang Web sản phẩm. Tài khoản muốn tên, địa chỉ, điện thoại và ngày sinh của bạn: Sai | Tạo nhiều hồ sơ trên một trang mạng xã hội - một hồ sơ cho mục đích cá nhân của bạn và một hồ sơ cho mục đích kinh doanh: Sai | Bạn nhận được một Email thông báo rằng tài khoản ngân hàng của bạn đã bị xâm phạm và hướng dẫn bạn nhấp vào một liên kết trong Email để đăng nhập và chứng minh đó là tài khoản của bạn: Đúng | Nếu một cá nhân tận mắt chứng kiến hành vi nguy hiểm, bất hợp pháp hoặc gây hại, thì hành động thích hợp là báo cho nhà chức trách.: Đúng","Mã độc tống tiền (Ransomware), lừa đảo ngân hàng (Phishing) và các hành vi phạm pháp cần phải báo cáo; việc tạo tài khoản mua hàng hay phân chia profile mạng xã hội là hoạt động bình thường.",
4,single,"Hãy điền từ thích hợp vào chỗ trống để hoàn thành phát biểu sau đây: ""... xảy ra khi ai đó sử dụng các từ hoặc hình ảnh có hại trên mạng để đe dọa, làm tổn thương, xấu hổ hoặc cố tình gây ra ảnh hưởng tiêu cực đến người khác.""",Challenging|Tweeting|Cyberbullying|Policing,Cyberbullying,"Bắt nạt trên mạng (Cyberbullying) là hành vi sử dụng công nghệ số để khủng bố tinh thần, hạ nhục hoặc đe dọa người khác một cách có chủ đích.",
5,single,"Hãy chọn từ thích hợp điền vào chỗ trống để hoàn thành phát biểu sau đây: ""Người dùng nên cố gắng hết sức để giữ bí mật thông tin của họ và thông tin của cấp trên của họ. ... không nên được viết ra và để lại bất cứ nơi nào mà người khác có thể tình cờ nhìn thấy chúng.""",Email addresses|Phone numbers|Passwords|Work,Passwords,"Mật khẩu (Passwords) là thông tin xác thực tối mật, tuyệt đối không được ghi chép ra giấy note để lộ thiên nơi làm việc.",
6,multiple,Người dùng kỹ thuật số nên có kiến thức hiện tại về điều gì? (Chọn 2),Công nghệ mới nhất|Lịch sử máy tính ban đầu|Hố sâu Internet|Dữ liệu bị xâm nhập,Công nghệ mới nhất|Dữ liệu bị xâm nhập,Một công dân số chủ động cần liên tục cập nhật xu hướng công nghệ mới và nắm bắt kịp thời các cảnh báo lộ lọt dữ liệu (Data breaches) để phòng tránh rủi ro bảo mật.,
7,matrix,"Bạn muốn trở thành một công dân kĩ thuật số tốt (có trách nhiệm) bằng cách báo cáo hành vi nguy hiểm, bất hợp pháp hoặc có hại. Ghép nối từng loại hoạt động trực tuyến bất hợp pháp với ví dụ về hành vi của nó.","COLS: Lừa đảo (Phishing) | Gian lận trên Internet (Internet Fraud) | Giả mạo (Spoofing) /// ROWS: Bạn nhận được một yêu cầu kết bạn trùng lặp trên Facebook từ một người đã là bạn của bạn | Người bán ô tô trực tuyến tuyên bố họ đang trong quân đội, nhưng sẽ giao xe cho bạn sau khi bạn thanh toán | Bạn nhận được một Email thông báo rằng tài khoản ngân hàng của bạn đã bị xâm phạm và hướng dẫn bạn nhấp vào một liên kết trong Email để đăng nhập và chứng minh đó là tài khoản của bạn","Bạn nhận được một yêu cầu kết bạn trùng lặp trên Facebook từ một người đã là bạn của bạn: Giả mạo (Spoofing) | Người bán ô tô trực tuyến tuyên bố họ đang trong quân đội, nhưng sẽ giao xe cho bạn sau khi bạn thanh toán: Gian lận trên Internet (Internet Fraud) | Bạn nhận được một Email thông báo rằng tài khoản ngân hàng của bạn đã bị xâm phạm và hướng dẫn bạn nhấp vào một liên kết trong Email để đăng nhập và chứng minh đó là tài khoản của bạn: Lừa đảo (Phishing)",Tạo nick mạo danh bạn bè là Spoofing; lừa đảo chiếm đoạt tiền đặt cọc xe là Internet Fraud; gửi link giả mạo ngân hàng đánh cắp tài khoản là Phishing.,
8,single,Mục đích của đạo luật về trách nhiệm giải trình và cung cấp thông tin bảo hiểm y tế (HIPAA - Health Insurance Portability and Accountability Act) là gì?,Để đảm bảo rằng thông y tế được chia sẻ với tất cả các thành viên trong gia đình có yêu cầu|Để giúp các cá nhân hiểu rõ hơn về thông tin y tế của họ|Để ràng buộc các chuyên gia y tế một cách hợp pháp với một cuộc sống bí mật và hoài nghi|Để bảo vệ hợp pháp thông tin y tế của cá nhân bằng cách hạn chế quyền truy cập đến thông tin y tế của chính họ hoặc người giám hộ đáng tin cậy,Để bảo vệ hợp pháp thông tin y tế của cá nhân bằng cách hạn chế quyền truy cập đến thông tin y tế của chính họ hoặc người giám hộ đáng tin cậy,HIPAA là đạo luật liên bang nhằm thiết lập các tiêu chuẩn quốc gia bảo vệ tính riêng tư và bảo mật hồ sơ bệnh án của cá nhân.,
9,matrix,"Bạn cần bảo vệ thông tin nhận dạng cá nhân (PII) của mình một cách thích hợp. Với mỗi phát biểu sau đây, hãy chọn Đúng hoặc Sai.",COLS: Đúng | Sai /// ROWS: Thông tin nhận dạng cá nhân (PII) mà các trang Web thu thập có thể bị sử dụng cho các mục đích đánh cắp danh tính | Việc sử dụng xác thực đa yếu tố làm tăng nguy cơ người khác truy cập PII của bạn | Việc đóng tài khoản trực tuyến vĩnh viễn sẽ xóa PII của bạn khỏi máy chủ lưu trữ trang Web,Thông tin nhận dạng cá nhân (PII) mà các trang Web thu thập có thể bị sử dụng cho các mục đích đánh cắp danh tính: Đúng | Việc sử dụng xác thực đa yếu tố làm tăng nguy cơ người khác truy cập PII của bạn: Sai | Việc đóng tài khoản trực tuyến vĩnh viễn sẽ xóa PII của bạn khỏi máy chủ lưu trữ trang Web: Sai,PII có nguy cơ bị lợi dụng trộm danh tính; xác thực đa yếu tố (MFA) giúp tăng cường bảo mật; việc xóa tài khoản thường không xóa sạch dữ liệu khỏi máy chủ hoặc bản sao lưu lưu trữ của nhà cung cấp.,
10,single,Bạn lên kế hoạch tìm kiếm một công việc trong ngành công nghệ thông tin. Bạn cần cập nhật kiến thức về các công nghệ kỹ thuật số mới nhất. Bạn nên làm gì?,"Làm mới kiến thức của bạn về công nghệ kỹ thuật số bằng cách tham gia một lớp học mới ba năm một lần|Đăng kí và đọc thông báo từ các trang Web công nghệ uy tín|Tình nguyện tạo bản tin hàng tháng cho một trường học địa phương|Hàng tháng, bạn cần viết một bài đăng trên Blog về công nghệ mới mà bạn quan",Đăng kí và đọc thông báo từ các trang Web công nghệ uy tín,Đăng ký nhận bản tin từ các chuyên trang công nghệ hàng đầu giúp cập nhật liên tục các biến chuyển và xu hướng kỹ thuật số mỗi ngày.,
