id,type,question,options,correct_answers,explanation,image
1,single,"Bạn lên kế hoạch bán máy tính của mình. Bạn xóa các tập tin cá nhân trên ổ cứng và sau đó, bạn dọn sạch thùng rác của máy tính (Recycle Bin hoặc Trash). Trên ổ cứng của bạn còn lại dữ liệu nào?","Tham chiếu đến các tập tin trên ổ cứng vẫn còn. Dữ liệu tập tin bị xóa hoàn toàn|Không còn gì. Tham chiếu đến các tập tin trên ổ cứng và dữ liệu tập tin bị xóa hoàn toàn|Tất cả. Tham chiếu đến các tập tin trên ổ cứng vẫn còn. Dữ liệu tập tin vẫn còn|Tham chiếu đến các tập tin trên ổ cứng sẽ bị xóa, Dữ liệu tập tin vẫn còn","Tham chiếu đến các tập tin trên ổ cứng sẽ bị xóa, Dữ liệu tập tin vẫn còn",Lệnh xóa thông thường và làm trống thùng rác chỉ gỡ bỏ con trỏ bảng chỉ mục (file reference); dữ liệu thực tế vẫn lưu trên các sector đĩa cứng cho đến khi bị ghi đè.,
2,single,Tùy chọn nào sau đây là hành động giúp xóa dữ liệu cá nhân khỏi thiết bị?,Tắt thiết bị|Cập nhật phần mềm|Quét nhanh|Khôi phục cài đặt gốc,Khôi phục cài đặt gốc,"Khôi phục cài đặt gốc (Factory Reset) xóa sạch mọi tài khoản, ứng dụng, hình ảnh và đưa hệ điều hành về trạng thái nguyên bản của nhà sản xuất.",
3,multiple,Bạn nên thực hiện thao tác nào sau đây trước khi bán máy tính xách tay của mình cho người khác? (Chọn 2),Hủy cấp quyền bất kỳ phần mềm nào|Cập nhật BIOS (Flash the BIOS)|Xóa tất cả các thiết bị lưu trữ|Tháo RAM|Định dạng ổ cứng của bạn,Hủy cấp quyền bất kỳ phần mềm nào|Định dạng ổ cứng của bạn,"Trước khi bàn giao máy, cần de-authorize bản quyền các phần mềm trả phí (như Office, Adobe) và định dạng (Format/Secure Erase) sạch ổ cứng để bảo vệ dữ liệu.",
4,multiple,Loại dữ liệu nào sau đây sẽ bị xóa khi thiết bị di động Android được khôi phục cài đặt gốc? (Chọn 3),Các hình ảnh|Ứng dụng nhắn tin văn bản|Thông tin tài khoản Google của người dùng|Trình bảo vệ màn hình được tải sẵn|Các ứng dụng đã tải xuống,Các hình ảnh|Thông tin tài khoản Google của người dùng|Các ứng dụng đã tải xuống,"Factory Reset trên Android sẽ xóa toàn bộ dữ liệu người dùng tự tạo hoặc tải về gồm: Hình ảnh cá nhân, tài khoản Google đã đăng nhập và các ứng dụng bên thứ 3.",
5,multiple,Hậu quả của việc đăng vị trí hiện tại của một người khi đang đi nghỉ dưỡng là gì? (Chọn 2),Những người khác sẽ biết rằng nhà của người đăng bài đang bỏ trống|Những người khác sẽ đi nghỉ dưỡng|Những người khác sẽ biết vị trí của người đăng bài|Những người khác sẽ nghĩ rằng người đăng bài đang ở nhà,Những người khác sẽ biết rằng nhà của người đăng bài đang bỏ trống|Những người khác sẽ biết vị trí của người đăng bài,Check-in vị trí đi chơi xa công khai trên mạng vô tình báo hiệu cho kẻ gian biết nhà bạn đang không có người trông coi và để lộ lịch trình di chuyển cá nhân.,
6,matrix,"Với từng phát biểu về công nghệ tự động hóa, hãy chọn Đúng hoặc Sai.",COLS: Đúng | Sai /// ROWS: Tự động hóa sẽ thay thế một số vai trò công việc hiện có | Tự động hóa sẽ tạo ra các vai trò công việc mới | Các hoạt động cần tương tác xã hội có nhiều khả năng sẽ được tự động hóa nhiều hơn những hoạt động khác | Các hoạt động cần thao tác vật lý trong môi trường được dự đoán có nhiều khả năng sẽ được tự động hóa nhiều hơn những hoạt động khác,Tự động hóa sẽ thay thế một số vai trò công việc hiện có: Đúng | Tự động hóa sẽ tạo ra các vai trò công việc mới: Đúng | Các hoạt động cần tương tác xã hội có nhiều khả năng sẽ được tự động hóa nhiều hơn những hoạt động khác: Sai | Các hoạt động cần thao tác vật lý trong môi trường được dự đoán có nhiều khả năng sẽ được tự động hóa nhiều hơn những hoạt động khác: Đúng,Tự động hóa thay thế việc chân tay lặp lại trong môi trường có quy luật và mở ra các ngành nghề kỹ thuật mới; các công việc tương tác xã hội/cảm xúc rất khó bị thay thế.,
7,single,"Ngày nay, các thiết bị có thể trở nên lỗi thời rất nhanh. Người dùng nên làm gì với thiết bị mà họ muốn loại bỏ?",Ném đi|Lưu trữ cho các thế hệ tương lai|Sử dụng cho một dự án nghệ thuật|Tái chế,Tái chế,"Thiết bị điện tử cũ chứa nhiều kim loại quý cũng như hóa chất độc hại, cần được đưa đến các cơ sở tái chế chuyên dụng thay vì vứt vào thùng rác sinh hoạt.",
8,single,....... liên quan đến máy móc được lập trình để suy nghĩ và thực hiện các hành động như con người.,Hệ thống SCADA|RNGs|iRobot|Trí tuệ nhân tạo (Artificial Intelligence),Trí tuệ nhân tạo (Artificial Intelligence),"Trí tuệ nhân tạo (AI) là ngành khoa học máy tính mô phỏng các quá trình tư duy, học tập và giải quyết vấn đề của con người trên máy móc.",
9,multiple,Các chuyên gia lo ngại rằng xã hội sẽ mất đi một số kĩ năng do sự phụ thuộc vào công nghệ. Tùy chọn nào sau đây là kĩ năng có thể ít được vận dụng do sử dụng công nghệ? (Chọn 3),Sự khéo léo|Phối hợp tay và mắt|Điều hướng bản đồ|Tổ chức|Tính nhẩm|Học thuộc lòng,Điều hướng bản đồ|Tính nhẩm|Học thuộc lòng,"Sự tiện lợi của GPS, máy tính bỏ túi và công cụ tìm kiếm khiến con người ngày càng ít rèn luyện khả năng đọc bản đồ giấy, tính nhẩm và ghi nhớ kiến thức.",
10,multiple,Hai kỹ năng nào đang bị mất đi trong xã hội vì phụ thuộc vào công nghệ? (Chọn 2),Điều hướng bản đồ (Map Navigation)|Tính nhẩm (Mental Arithmetic)|Khéo léo (Dexterity)|Tổ chức (Organization)|Nhận thức sâu sắc (Depth Perception),Điều hướng bản đồ (Map Navigation)|Tính nhẩm (Mental Arithmetic),Phụ thuộc vào smartphone khiến kỹ năng tự định hướng đường đi (bản đồ) và tính toán số liệu cơ bản trong đầu (tính nhẩm) bị suy giảm đáng kể.,
