id,type,question,options,correct_answers,explanation,image
1,multiple,Người dùng nên tìm kiếm điều gì để xác định độ tin cậy của tác giả? (Chọn 3),Kinh nghiệm sống của tác giả|Các bình luận trên mạng xã hội thảo luận về dữ liệu của tác giả|Các bài viết khác cùng chủ đề|Thông tin về cuộc sống gia đình của tác giả|Trình độ học vấn của tác giả,Kinh nghiệm sống của tác giả|Các bài viết khác cùng chủ đề|Trình độ học vấn của tác giả,"Độ tin cậy của tác giả được đánh giá qua trình độ chuyên môn đào tạo, danh mục các công trình nghiên cứu cùng chủ đề và kinh nghiệm làm việc thực tế trong ngành.",
2,single,Biểu tượng nào mà một số trình duyệt Web hiển thị ở bên trái trường địa chỉ Web để cho biết rằng một trang Web an toàn?,Lightbulb|Bell|Key|Lock,Lock,Biểu tượng ổ khóa (Lock) cho biết kết nối trang web đã được mã hóa an toàn bằng giao thức HTTPS/chứng chỉ SSL.,
3,matrix,Bạn phải thực hiện tìm kiếm nhiều thông tin. Nối từng loại tìm kiếm mà bạn cần sử dụng trong danh sách ở cột bên phải tương ứng với chủ đề cần tìm kiếm ở cột bên trái.,COLS: Thông tin | Điều hướng | Giao dịch /// ROWS: Các tuỳ chọn bên thứ ba khi mua phần mềm | Số liệu thống kê dân số | Một trang cụ thể,Các tuỳ chọn bên thứ ba khi mua phần mềm: Giao dịch | Số liệu thống kê dân số: Thông tin | Một trang cụ thể: Điều hướng,Tìm nơi mua hàng là tìm kiếm Giao dịch (Transactional); tra cứu dữ liệu/thống kê là tìm kiếm Thông tin (Informational); tìm đường dẫn tới trang web cụ thể là tìm kiếm Điều hướng (Navigational).,
4,single,Bộ lọc tìm kiếm nào sẽ cung cấp cho người dùng kết quả về các mặt hàng họ có thể mua?,Shopping|Maps|Videos|Images,Shopping,"Tab Mua sắm (Shopping) của công cụ tìm kiếm lọc và hiển thị danh sách sản phẩm, giá bán và các cửa hàng phân phối để người dùng mua hàng.",
5,multiple,Lựa chọn nào đóng vai trò tốt nhất trong việc định hình quan điểm của một người nào đó? (Chọn 3),Địa vị xã hội|Đội thể thao yêu thích|Thực phẩm yêu thích|Trình độ học vấn|Tuổi tác,Địa vị xã hội|Trình độ học vấn|Tuổi tác,"Địa vị kinh tế xã hội, nền tảng tri thức học vấn và độ tuổi/kinh nghiệm sống là các nhân tố nhân khẩu học chủ chốt định hình nên nhân sinh quan của mỗi người.",
6,matrix,Bạn đang cố gắng thiết kế một yêu cầu tìm kiếm hiệu quả. Bạn nhận ra rằng trước tiên bạn phải chọn đúng công cụ tìm kiếm. Chọn Đúng nếu công cụ tìm kiếm sẽ trả về kết quả mong muốn hoặc chọn Sai nếu không.,"COLS: Đúng | Sai /// ROWS: Shazam có thể xác định tên của một bài hát | TinEye có thể báo cáo lần xuất hiện đầu tiên của một hình ảnh trực tuyến | Google xác minh các bài đăng tin tức giả mạo hoặc gây hiểu lầm | Shodan cho phép bạn tìm kiếm TV thông minh, nhà máy điện, tủ lạnh hoặc bất kì loại thiết bị IoT nào được kết nối với Internet","Shazam có thể xác định tên của một bài hát: Đúng | TinEye có thể báo cáo lần xuất hiện đầu tiên của một hình ảnh trực tuyến: Đúng | Google xác minh các bài đăng tin tức giả mạo hoặc gây hiểu lầm: Sai | Shodan cho phép bạn tìm kiếm TV thông minh, nhà máy điện, tủ lạnh hoặc bất kì loại thiết bị IoT nào được kết nối với Internet: Đúng",Shazam nhận diện âm nhạc; TinEye tìm kiếm ảnh đảo ngược; Shodan quét các thiết bị IoT nối mạng; Google là công cụ tìm kiếm chung chứ không tự động xác thực tin thật/giả.,
7,single,Người dùng có thể tin tưởng vào tiêu đề URL nào với thông tin thẻ tín dụng của họ?,.com|www.|https://|http://,https://,"Giao thức https:// mã hóa toàn bộ dữ liệu trao đổi giữa trình duyệt và máy chủ, bảo vệ an toàn cho dữ liệu nhạy cảm như thẻ tín dụng.",
8,multiple,Câu chuyện về tài liệu hướng dẫn ôn tập cho kì thi đại học xuất hiện trên nguồn cung cấp tin tức (News Feed) trên mạng truyền thông xã hội của bạn... Câu chuyện chứa hai nguỵ biện Logic nào sau đây? (Chọn 2),"Nguỵ biện lợi dụng người nổi tiếng (Appeal to Authority), dựa vào uy tín của một chuyên gia có thể được nêu tên hoặc giấu tên, để làm cơ sở cho lập luận.|Nguỵ biện vin vào truyền thống (Appeal to Tradition), bỏ qua những vấn đề trong quá khứ và cho rằng mọi thứ đã xảy ra trong quá khứ đều tốt đẹp hơn hiện tại|Nguỵ biện tấn công cá nhân (Ad hominem), tập trung công kích cá nhân chứ không tấn công vào vấn đề|Nguỵ biện song đề sai (False Dilemma), hạn chế các lựa chọn có thể có để tránh việc cân nhắc một lựa chọn","Nguỵ biện lợi dụng người nổi tiếng (Appeal to Authority), dựa vào uy tín của một chuyên gia có thể được nêu tên hoặc giấu tên, để làm cơ sở cho lập luận.|Nguỵ biện song đề sai (False Dilemma), hạn chế các lựa chọn có thể có để tránh việc cân nhắc một lựa chọn",Dẫn lời giáo sư đại học để tăng uy tín là Appeal to Authority; ép buộc 'nếu không mua sẽ trượt đại học' tạo tình thế nhị nguyên giả tạo là False Dilemma.,
9,multiple,Trích dẫn (Citation) trang Web thường bao gồm những gì? (Chọn 3),Publisher|Publication date|Book title|Website name|URL,Publication date|Website name|URL,"Một trích dẫn nguồn trực tuyến tiêu chuẩn bao gồm tên trang web (Website name), ngày tháng xuất bản/truy cập (Publication date) và đường dẫn liên kết (URL).",
10,single,Tài nguyên nào tốt nhất để một người sử dụng khi viết báo cáo về các hành tinh?,Một tạp chí khoa học|Một tiểu thuyết hư cấu|Một trang Blog|Một bài đăng trên mạng xã hội,Một tạp chí khoa học,"Tạp chí khoa học (Scientific journal) cung cấp số liệu nghiên cứu thiên văn chính xác, có cơ sở bằng chứng và được kiểm định học thuật tin cậy.",
