id,type,question,options,correct_answers,explanation,image
1,single,"Bạn hãy cho biết, phát biểu sau đây là đúng hay sai: ""Dropbox là một trong nhiều công cụ cộng tác.""",Đúng|Sai,Đúng,"Dropbox cung cấp khả năng chia sẻ tập tin, đồng bộ hóa dữ liệu đám mây và làm việc nhóm thông qua Dropbox Paper.",
2,single,Bạn có thể sử dụng tất cả các công cụ sau cho mục đích gì? -> Google Docs -> Google Meet -> Microsoft Teams -> Dropbox,Lưu trữ tập tin|Trò chuyện bằng Video|Cộng tác|Tạo nội dung,Cộng tác,Điểm chung của tất cả các ứng dụng trên là đều phục vụ mục đích hỗ trợ làm việc nhóm và cộng tác kỹ thuật số (Collaboration).,
3,multiple,Ứng dụng nào là ví dụ về nền tảng cộng tác? (Chọn 2),Office 365|GoToMeeting|Slack|Zoom,Office 365|Slack,"Office 365 và Slack là các nền tảng cộng tác không gian làm việc toàn diện (Workspace/Collaboration platforms) kết hợp nhắn tin, quản lý tài liệu và phân công công việc.",
4,matrix,Nối các công cụ cộng tác kỹ thuật số thích hợp với mô tả tương ứng,"COLS: Chia sẻ tập tin trên nền tảng đám mây | Hội thảo trực tuyến | Bảng trắng trực tuyến /// ROWS: Cộng tác viên có thể chỉnh sửa tập tin cùng một lúc và tự động lưu các thay đổi | Cộng tác viên tham gia vào các hoạt động học tập và chia sẻ ngay lập tức các phản ứng, diễn giải và áp dụng các ý tưởng đã trình bày | Cộng tác viên có thể đồng thời động não, xem xét và chỉnh sửa thông tin trực quan bằng cách viết, vẽ và chèn hình ảnh","Cộng tác viên có thể chỉnh sửa tập tin cùng một lúc và tự động lưu các thay đổi: Chia sẻ tập tin trên nền tảng đám mây | Cộng tác viên tham gia vào các hoạt động học tập và chia sẻ ngay lập tức các phản ứng, diễn giải và áp dụng các ý tưởng đã trình bày: Hội thảo trực tuyến | Cộng tác viên có thể đồng thời động não, xem xét và chỉnh sửa thông tin trực quan bằng cách viết, vẽ và chèn hình ảnh: Bảng trắng trực tuyến",Cloud storage lưu và sửa tài liệu chung; Hội thảo trực tuyến phục vụ giảng dạy tương tác tức thời; Bảng trắng (Whiteboard) hỗ trợ động não bằng nét vẽ và hình ảnh.,
5,multiple,Bạn hãy cho biết công cụ nào sau đây là công cụ cộng tác? (Chọn 3),Bridge|Box|OneDrive|Google Docs|Creative Cloud,Box|OneDrive|Google Docs,"Box, OneDrive và Google Docs đều là các công cụ hỗ trợ chia sẻ dữ liệu và cộng tác chỉnh sửa văn bản trực tuyến nhiều người dùng.",
6,multiple,Hai mục nào là cần thiết để đồng tác giả một tài liệu? (Chọn 2),Phần mềm của bên thứ ba|Khu vực lưu trữ dùng chung|Tài liệu thân thiện cho cộng tác|Giấy phép đồng tác giả,Khu vực lưu trữ dùng chung|Tài liệu thân thiện cho cộng tác,"Để cùng đồng tác giả (Co-authoring), tệp tin phải được đặt trên một không gian lưu trữ dùng chung (như SharePoint, OneDrive) và lưu ở định dạng hỗ trợ chỉnh sửa đồng thời.",
7,single,Bạn hãy cho biết kiểu chỉnh sửa nào sau đây cũng được biết đến như là hợp tác đồng tác giả (Coauthoring)?,Không đồng bộ (Asynchronous)|Đồng bộ (Synchronous)|So le (Staggered)|Đồng thời (Simultaneous),Đồng bộ (Synchronous),"Đồng tác giả (Coauthoring) theo thời gian thực cho phép các thành viên nhìn thấy thao tác gõ phím của nhau ngay lập tức, đây là hình thức chỉnh sửa đồng bộ (Synchronous).",
8,multiple,Bạn hãy cho biết điều nào sau đây là đúng về kỹ thuật Co-authoring? (Chọn 2),Tính năng Coauthors phải được cấp quyền truy cập vào tài liệu mà họ sẽ làm việc|Tính năng Co-authoring khả dụng với các tài liệu trong SharePoint|Tính năng Coauthoring khả dụng với các tài liệu được lưu trên ổ cứng cục bộ|Tính năng Coauthors trong một trang tính của Google là ẩn danh,Tính năng Coauthors phải được cấp quyền truy cập vào tài liệu mà họ sẽ làm việc|Tính năng Co-authoring khả dụng với các tài liệu trong SharePoint,"Để cộng tác, người tham gia bắt buộc phải được cấp quyền truy cập (Share permission) và tài liệu phải nằm trên nền tảng hỗ trợ như SharePoint hoặc OneDrive.",
9,multiple,Phát biểu nào là đúng về tổ chức hội thảo trên Web (Webinar)? (Chọn 2),Khán giả hoàn toàn có quyền tự do đặt câu hỏi|Người thuyết trình phải cảm thấy thoải mái với phần mềm được sử dụng cho bài trình chiếu|Bài trình chiếu nên có các slide chi tiết|Micrô và loa phải luôn được kiểm tra,Người thuyết trình phải cảm thấy thoải mái với phần mềm được sử dụng cho bài trình chiếu|Micrô và loa phải luôn được kiểm tra,Diễn giả cần thành thạo phần mềm trình chiếu và luôn test kỹ âm thanh (micro/loa) để đảm bảo buổi hội thảo diễn ra trôi chảy.,
10,single,"Khi đặt câu hỏi trong hội thảo trên Web (Webinar), các cá nhân không cần xác định họ là ai vì tên của họ rất có thể xuất hiện trên màn hình hội thảo",Đúng|Sai,Sai,"Theo phép lịch sự trong Webinar, người tham dự nên chủ động giới thiệu tên và đơn vị khi đặt câu hỏi để diễn giả tiện xưng hô và giải đáp.",
11,single,Bạn hãy cho biết kiểu chỉnh sửa nào không được thực hiện trong thời gian thực giữa hai người?,So le (Staggered)|Không đồng bộ (Asynchronous)|Đồng bộ (Synchronous)|Đồng thời (Simultaneous),Không đồng bộ (Asynchronous),"Chỉnh sửa không đồng bộ (Asynchronous) diễn ra khi hai bên làm việc tại các thời điểm khác nhau, không diễn ra đồng thời theo thời gian thực.",
12,matrix,So sánh chỉnh sửa đồng bộ với chỉnh sửa không đồng bộ bằng cách trả lời các phát biểu sau.,"COLS: Đúng | Sai /// ROWS: Chỉnh sửa đồng bộ xảy ra khi những người tham gia làm việc cùng nhau tại cùng một thời điểm, trong thời gian thực | Chỉnh sửa đồng bộ tốt hơn chỉnh sửa không đồng bộ | Chỉnh sửa không đồng bộ xảy ra khi những người tham gia cộng tác vào những thời điểm khác nhau","Chỉnh sửa đồng bộ xảy ra khi những người tham gia làm việc cùng nhau tại cùng một thời điểm, trong thời gian thực: Đúng | Chỉnh sửa đồng bộ tốt hơn chỉnh sửa không đồng bộ: Sai | Chỉnh sửa không đồng bộ xảy ra khi những người tham gia cộng tác vào những thời điểm khác nhau: Đúng",Chỉnh sửa đồng bộ diễn ra cùng lúc theo thời gian thực; chỉnh sửa không đồng bộ diễn ra ở các mốc thời gian khác nhau; mỗi phương pháp có ưu thế riêng tùy theo hoàn cảnh.,
13,matrix,"Bạn đang chuẩn bị tài liệu đề xuất dự án với đối tác ở một tỉnh thành khác trong nước, rất xa bạn. Khi bạn và đối tác thêm nội dung vào tài liệu, cả hai cần phải cộng tác để sửa đổi đề xuất này. Cần thực hiện các hành động theo trình tự nào?",COLS: 1 | 2 | 3 | 4 | 5 /// ROWS: Tạo tài liệu mới | Tải tài liệu lên bộ nhớ đám mây | Chia sẻ liên kết đến tài liệu | Thêm chú thích và theo dõi các thay đổi trong tài liệu | Xem xét và chấp nhận hoặc từ chối chú thích và thay đổi,Tạo tài liệu mới: 1 | Tải tài liệu lên bộ nhớ đám mây: 2 | Chia sẻ liên kết đến tài liệu: 3 | Thêm chú thích và theo dõi các thay đổi trong tài liệu: 4 | Xem xét và chấp nhận hoặc từ chối chú thích và thay đổi: 5,Quy trình cộng tác từ xa: Soạn tài liệu -> Tải lên đám mây -> Chia sẻ link -> Bật chú thích/theo dõi chỉnh sửa -> Rà soát duyệt hoặc từ chối các đề xuất.,
14,multiple,"Bạn và bạn cùng lớp đang đọc các tài liệu kỹ thuật số được chia sẻ của nhau. Tài liệu bạn đang đọc được viết bài bản, nhưng bạn nhận thấy một lỗi sai so với thực tế. Bạn cần lịch sự chỉ ra lỗi sai cho tác giả bằng một chú thích trong tài liệu. Bạn nên thực hiện hai hành động nào? (Chọn 2)","Giữ thái độ tích cực khi đưa ra nhận xét|Chỉ ra lỗi mà không cần giải thích|Viết phần sửa chữa bằng chữ in hoa để đảm bảo rằng tác giả sẽ nhìn thấy|Cung cấp thông tin chính xác trong chú thích của bạn, nếu có","Giữ thái độ tích cực khi đưa ra nhận xét|Cung cấp thông tin chính xác trong chú thích của bạn, nếu có","Góp ý mang tính xây dựng cần thái độ lịch sự, tích cực và dẫn chứng thông tin chính xác giúp tác giả sửa sai mà không cảm thấy khó chịu.",
15,multiple,Bạn dự định tham dự hội thảo trực tuyến về các quy tắc an toàn cần thiết cho sinh viên khi sử dụng phòng thí nghiệm khoa học của trường. Bạn sẽ tham gia hội thảo trực tuyến bằng máy tính xách tay của mình. Bạn cần thể hiện sự tôn trọng và lịch sự với người trình bày và những người tham gia khác trong hội thảo trực tuyến. Đâu là ba hành động bạn cần thực hiện để đạt được mục tiêu này? (Chọn 3),"Bày tỏ ý kiến phản biện về nội dung trong khu vực trò chuyện công khai|Chuẩn bị sẵn điện thoại di động để nhắn tin với những người tham gia khác|Luôn bật camera để người thuyết trình biết ai đang tham dự|Tắt mic, trừ khi người thuyết trình yêu cầu bạn phát biểu|Đăng nhập sớm để đảm bảo ứng dụng hội thảo trực tuyến hoạt động tốt|Mở các tab trình duyệt khác để có thực hiện hành động nhằm các mục đích khác","Luôn bật camera để người thuyết trình biết ai đang tham dự|Tắt mic, trừ khi người thuyết trình yêu cầu bạn phát biểu|Đăng nhập sớm để đảm bảo ứng dụng hội thảo trực tuyến hoạt động tốt","Vào sớm trước giờ họp, bật webcam để biểu thị sự tập trung và tắt micro chống ồn là 3 quy tắc Netiquette chuẩn mực.",
16,single,Bạn đang rà soát bản báo cáo do một người bạn cùng lớp viết bằng phương thức điện tử. Bạn nên sử dụng phương pháp nào trong tài liệu để đưa ra phản hồi mang tính xây dựng cho bạn học của mình?,Trích dẫn (Citations)|Chú thích cuối trang (Footnotes)|Chú thích (Comments)|Hộp văn bản (Text boxes),Chú thích (Comments),Tính năng Nhận xét/Chú thích (Comments) là công cụ chuẩn mực nhất để để lại lời bình và góp ý trực tiếp trên từng câu chữ của văn bản.,
17,multiple,"Trong quá trình cộng tác, việc thành viên tương tác với nhau ở những vùng địa lý cách xa nhau như 2 quốc gia, 2 tiểu bang khác múi giờ dẫn đến việc khó khăn trong việc giao tiếp đồng bộ. Trong trường hợp này, giao tiếp kĩ thuật số không đồng bộ là thích hợp nhất. Tuỳ chọn nào sau đây là phương thức giao tiếp kĩ thuật số không đồng bộ? (Chọn 2)",Phone Call|Email|Video Conference|Text Messaging,Email|Text Messaging,"Email và tin nhắn văn bản (Text Messaging) cho phép người nhận đọc và phản hồi khi họ thức giấc hoặc có thời gian, rất phù hợp khi khác múi giờ.",
