id,type,question,options,correct_answers,explanation,image
1,single,Thời gian tối đa được coi là thời gian cần thiết để trả lời Email trong một môi trường chuyên nghiệp là bao nhiêu?,15 phút|24 giờ|30 phút|48 giờ,24 giờ,"Trong môi trường công việc chuyên nghiệp, quy chuẩn chung là phản hồi các email thông thường trong vòng tối đa 24 giờ làm việc.",
2,single,Bạn hãy cho biết khi sử dụng tất cả chữ in hoa trong một thư điện tử (Email) sẽ truyền đạt điều gì?,La hét|Nhấn mạnh|Khẩn cấp|Tầm quan trọng,La hét,"Trong văn hóa ứng xử trực tuyến (Netiquette), việc gõ toàn bộ bằng chữ in hoa (ALL CAPS) được xem là hành động la hét, giận dữ và thiếu lịch sự.",
3,single,"Hiệu trưởng của một trường đang soạn email gửi tới phụ huynh học sinh, có nội dung về tầm quan trọng của việc tất cả học sinh đi học đúng giờ. Ông ấy cần sử dụng phương pháp giao tiếp phù hợp và hiệu quả nhất. Thầy hiệu trưởng phải làm gì?",Gửi thư tới tất cả phụ huynh bằng cách sử dụng trường Bcc|Gửi thư tất tất cả phụ huynh bằng cách sử dụng trường Cc|Gửi thư tới một nhóm liên hệ chỉ bao gồm địa chỉ email của học sinh|Gửi thư tới phụ huynh của từng học sinh đi muộn,Gửi thư tới tất cả phụ huynh bằng cách sử dụng trường Bcc,"Sử dụng trường Bcc khi gửi thư cho toàn thể phụ huynh giúp bảo mật tuyệt đối danh sách địa chỉ email cá nhân, ngăn chặn lộ lọt thông tin riêng tư giữa các gia đình.",
4,single,Bạn hãy cho biết ứng dụng nào có thể tổ chức cả cuộc họp âm thanh và Video?,Microsoft Team|Yammer|Dropbox|Box,Microsoft Team,Microsoft Teams là nền tảng cộng tác hỗ trợ tổ chức các cuộc họp trực tuyến tích hợp đầy đủ cả âm thanh (Audio) và hình ảnh (Video).,
5,single,Một người dùng nhận được cuộc gọi điện thoại khi đang họp. Quy trình hành động tốt nhất mà người dùng thực hiện nếu họ phải thực hiện cuộc gọi là gì?,Trả lời điện thoại|Rời khỏi phòng họp|Di chuyển đến một góc của căn phòng|Di chuyển cách xa những người khác 100-200 feet,Rời khỏi phòng họp,"Nếu có cuộc gọi khẩn cấp trong giờ họp, quy tắc lịch sự là xin phép nhẹ nhàng rời khỏi phòng họp để nói chuyện, tránh làm gián đoạn mọi người.",
6,single,"Bạn hãy cho biết, bạn nên làm gì trước khi bắt đầu một cuộc hội thoại bằng loa ngoài?",Kiểm tra âm lượng trên thiết bị liên lạc đầu ra|Xin phép để tiếp tục cuộc trò chuyện trên loa ngoài|Bật loa điện thoại và bắt đầu nói chuyện|Yêu cầu đầu dây bên kia nói để kiểm tra âm lượng,Xin phép để tiếp tục cuộc trò chuyện trên loa ngoài,Luôn cần thông báo và xin phép người ở đầu dây bên kia trước khi bật loa ngoài để đảm bảo tính riêng tư và sự đồng thuận của họ.,
7,multiple,Bạn tham gia nhóm gồm 10 sinh viên đang thực hiện một dự án lớn trong lớp học về sức khoẻ. Nhóm của bạn sẽ thảo luận thông qua công cụ hội thảo video. Bạn nên thực hiện hai hành động nào trước khi tham gia hội thảo video lần đầu tiên? (Chọn 2),Kiểm tra trước công nghệ hội thảo video|Chuẩn bị sẵn đồ ăn nhẹ phòng khi đói|Đặt camera của bạn ngang tầm mắt|Đặt ánh sáng phía sau bạn để bạn có bóng của bạn,Kiểm tra trước công nghệ hội thảo video|Đặt camera của bạn ngang tầm mắt,"Kiểm tra mic/camera trước cuộc họp và bố trí camera ngang tầm mắt giúp hình ảnh giao tiếp tự nhiên, chuyên nghiệp và tránh các sự cố kỹ thuật bất ngờ.",
8,multiple,"Bạn hãy cho biết, hai điều nào sau đây là quan trọng nhất cần tuân theo khi chuẩn bị trình bày tại hội nghị truyền hình? (Chọn 2)","Dự đoán các câu hỏi có thể có của khán giả|Có một chương trình các hoạt động theo thứ tự cho hội nghị|Tìm một vị trí để thuyết trình tại hội nghị sao cho chuyên nghiệp, có thể ở bên ngoài nhà của bạn|Kiểm tra micrô và loa",Có một chương trình các hoạt động theo thứ tự cho hội nghị|Kiểm tra micrô và loa,Lập khung chương trình (Agenda) rõ ràng và kiểm tra kỹ hệ thống âm thanh (Mic và Loa) là hai yếu tố cốt lõi bảo đảm buổi thuyết trình diễn ra suôn sẻ.,
9,single,Bạn hãy cho biết ứng dụng nào sau đây có khả năng tạo cuộc họp mặt trực tuyến?,Google Drive|OneDrive|Zoom|Dropbox,Zoom,Zoom là ứng dụng hội nghị truyền hình trực tuyến chuyên dụng cho phép khởi tạo và tham gia các cuộc họp mặt video từ xa.,
10,single,Bạn hãy cho biết cách sử dụng tính năng trò chuyện (Chat) trong tình huống nào sau đây là phù hợp nhất trong hội thảo trên Web (Webinar)?,Chèn kiến thức để thêm vào bài thuyết trình|Đặt câu hỏi khi có thời gian thích hợp|Bắt chuyện với đồng nghiệp|Nhận xét về bài thuyết trình,Đặt câu hỏi khi có thời gian thích hợp,Khung chat trong Webinar dùng để đặt câu hỏi cho diễn giả vào thời điểm thích hợp nhằm tránh làm loãng hoặc gián đoạn luồng thuyết trình.,
