id,type,question,options,correct_answers,explanation,image
1,multiple,"Khi tạo cuộc hẹn hoặc nhiệm vụ trên lịch kĩ thuật số cá nhân, bạn thường có thể tuỳ chỉnh hai cài đặt nào sau đây? (Chọn 2)",Chi phí của sự kiện (Cost of event)|Lời nhắc (Reminders)|Tần suất lặp lại sự kiện (How often to repeat the event)|Người tổ chức sự kiện (Event Host),Lời nhắc (Reminders)|Tần suất lặp lại sự kiện (How often to repeat the event),"Lịch số cho phép người dùng tùy biến thời gian gửi thông báo nhắc nhở (Reminders) và chu kỳ lặp lại (hàng ngày, hàng tuần, hàng năm,...)."
2,single,Bạn hãy nhấp chọn vào tính năng chia sẻ toàn bộ lịch của bạn với người khác trong hình sau đây?,1|2|3|4,3,Vị trí số 3 trên thanh công cụ Calendar tương ứng với nút 'Share Calendar' (Chia sẻ lịch) cho phép cấp quyền xem/sửa lịch cho người khác.
3,single,Mục nào của Outlook calendar kéo dài cả ngày theo mặc định?,Appointment|Meeting|Event|Special,Event,"Trong Outlook, một Event (Sự kiện) theo mặc định sẽ là hoạt động kéo dài nguyên cả ngày (All-day event) và không chiếm dụng khung giờ cụ thể."
4,matrix,"Bạn đang thêm ngày sinh của bố mình vào lịch cá nhân. Bạn cần tùy chỉnh các cài đặt sự kiện mặc định được hiển thị. Hãy nối từng tùy chỉnh với cài đặt sự kiện tương ứng. Để trả lời, hãy di chuyển từng tuỳ chỉnh từ danh sách ở bên trái sang cài đặt sự kiện tương ứng ở bên phải.",COLS: Nhắc nhở | Lặp lại | Thời lượng | Người tham dự /// ROWS: Nhận thông báo một tuần trước sự kiện để bạn không quên mua quà | Thêm sự kiện vào lịch của bạn vào một ngày cố định hàng năm | Xoá thời gian bắt đầu và kết thúc sự kiện | Thêm sự kiện vào lịch của anh trai bạn,Nhận thông báo một tuần trước sự kiện để bạn không quên mua quà: Nhắc nhở | Thêm sự kiện vào lịch của bạn vào một ngày cố định hàng năm: Lặp lại | Xoá thời gian bắt đầu và kết thúc sự kiện: Thời lượng | Thêm sự kiện vào lịch của anh trai bạn: Người tham dự,Thông báo trước = Cài đặt nhắc nhở; Định kỳ hàng năm = Tần suất lặp lại (Recurrence); Cả ngày không giới hạn giờ = Cài đặt thời lượng (All day); Mời người khác = Thêm người tham dự.
5,single,"Trong Outlook, điều gì thay đổi cuộc hẹn (appointment) thành cuộc họp (meeting)?",Chọn hộp kiểm Meeting|Thêm người được mời|Chọn hộp kiểm All day|Đặt thời gian bắt đầu và kết thúc,Thêm người được mời,"Trong Microsoft Outlook, Cuộc hẹn (Appointment) là lịch cá nhân của riêng bạn; khi bạn thêm ít nhất một người tham dự (Attendees/Invitees), nó sẽ tự động chuyển đổi thành Cuộc họp (Meeting)."
6,multiple,Hai tính năng nào sau đây cho phép bạn kiểm soát việc hiển thị thông tin cụ thể trên lịch cá nhân của mình? (Chọn 2),Chia sẻ (Share)|Tắt lịch (Disable calendar)|Giữ riêng tư (Keep private)|Lọc theo danh mục sự kiện (Filter by event category),Giữ riêng tư (Keep private)|Lọc theo danh mục sự kiện (Filter by event category),"Đặt chế độ Private giúp ẩn chi tiết sự kiện khi chia sẻ lịch, và Filter by Category giúp lọc hiển thị các sự kiện theo nhóm màu sắc/chủ đề cụ thể."
7,multiple,Phát biểu nào sau đây là đúng khi nói về Google Calendars? (Chọn 2),Mã màu chỉ có thể thay đổi trong vùng cài đặt|Những ngày lễ có thể được thêm vào|Chỉ có thể đăng ký lịch bằng cách sử dụng URL|Bạn có thể đăng ký trực tuyến,Những ngày lễ có thể được thêm vào|Bạn có thể đăng ký trực tuyến,Google Calendar cho phép tích hợp sẵn lịch các ngày lễ quốc gia và hỗ trợ đăng ký (Subscribe) các bộ lịch trực tuyến công khai.
8,matrix,"Nối từng phần mở rộng tập tin với tình huống hỗ trợ tương ứng. Để trả lời, hãy di chuyển từng phần mở rộng tập tin từ danh sách ở bên trái sang tình huống tương ứng ở bên phải.",COLS: .txt | .png | .jpg | .pdf /// ROWS: Tập tin chứa các văn bản chưa định dạng | Logo có nền trong suốt | Ảnh mà bạn sẽ hiển thị trên trang Web | Tập tin mà bạn sẽ gửi qua Email cho công ty in,Tập tin chứa các văn bản chưa định dạng: .txt | Logo có nền trong suốt: .png | Ảnh mà bạn sẽ hiển thị trên trang Web: .jpg | Tập tin mà bạn sẽ gửi qua Email cho công ty in: .pdf,.txt lưu văn bản thuần không định dạng; .png hỗ trợ độ trong suốt (transparency) rất tốt cho logo; .jpg tối ưu dung lượng ảnh cho web; .pdf giữ nguyên bố cục chuẩn xác khi in ấn.
9,matrix,"Bạn đang học cách xác định phần mở rộng tập tin thích hợp cho từng loại tập tin cụ thể. Đối với mỗi phát biểu về phần mở rộng tập tin, Bạn hãy chọn Đúng hoặc Sai.",COLS: Đúng | Sai /// ROWS: Các tập tin .txt vẫn giữ nguyên định dạng khi được sao chép từ tập tin khác | Hình ảnh động có phần mở rộng tập tin .jpg | Các tập tin có phần mở rộng .pdf trông giống hệt như tập tin gốc nhưng không thể chỉnh sửa được | Phần mở rộng tập tin hình ảnh có thể có nền trong suốt sẽ là .png,Các tập tin .txt vẫn giữ nguyên định dạng khi được sao chép từ tập tin khác: Sai | Hình ảnh động có phần mở rộng tập tin .jpg: Sai | Các tập tin có phần mở rộng .pdf trông giống hệt như tập tin gốc nhưng không thể chỉnh sửa được: Đúng | Phần mở rộng tập tin hình ảnh có thể có nền trong suốt sẽ là .png: Đúng,Tệp .txt loại bỏ toàn bộ định dạng font/màu; ảnh động dùng định dạng .gif (JPG không hỗ trợ ảnh động); PDF bảo toàn bố cục in ấn và hạn chế chỉnh sửa trực tiếp; PNG hỗ trợ kênh alpha trong suốt.
10,single,Lợi thế của việc sử dụng ví điện tử như Apple Pay hoặc Google Pay là gì?,Khuyến khích bạn tìm kiếm và mua sắm với mức giá tốt nhất|Tự động cung cấp số thẻ tín dụng của bạn cho các cửa hàng trực tuyến|Tạo lịch sử tín dụng của bạn|Yêu cầu bạn uỷ quyền mọi giao dịch,Khuyến khích bạn tìm kiếm và mua sắm với mức giá tốt nhất,"Ví điện tử thường tích hợp nhiều chương trình tích điểm, ưu đãi đối tác và đề xuất hoàn tiền (cashback), thúc đẩy người dùng lựa chọn mức giá tối ưu khi thanh toán."
