id,type,question,options,correct_answers,explanation,image
1,multiple,Bạn tạo một tài liệu dài có nhiều phần nội dung. Bạn chèn tiêu đề vào phần đầu của mỗi phần nội dung. Tuỳ chọn nào sau đây là lý do mà bạn nên định dạng Style? (Chọn 2),Để bạn có thể tự động tạo mục lục cho tài liệu|Để bạn có thể đưa thông tin giống nhau (như số trang) vào mọi trang|Để kích hoạt các quyền duy nhất cho từng phần|Để áp dụng định dạng nhất quán cho từng cấp của văn bản tiêu đề,Để bạn có thể tự động tạo mục lục cho tài liệu|Để áp dụng định dạng nhất quán cho từng cấp của văn bản tiêu đề,"Áp dụng định dạng Styles (Heading 1, 2,...) giúp duy trì tính đồng bộ về kiểu chữ và cho phép Microsoft Word tự động tạo Mục lục (Table of Contents).",
2,multiple,"Bạn tạo và điền vào tài liệu một trang, sau đó thêm một trang trống vào tài liệu đó. Bạn cần sao chép tất cả nội dung của trang đầu tiên lên trang thứ hai. Bạn nên sử dụng ba phím tắt nào? (Chọn 3)",Ctrl+P (Cmd+P)|Ctrl+V (Cmd+V)|Ctrl+N (Cmd+N)|Ctrl+C (Cmd+C)|Ctrl+A (Cmd+A),Ctrl+V (Cmd+V)|Ctrl+C (Cmd+C)|Ctrl+A (Cmd+A),Quy trình: Ctrl+A (chọn toàn bộ văn bản) -> Ctrl+C (sao chép) -> chuyển đến trang mới và Ctrl+V (dán nội dung).,
3,multiple,Bạn hãy cho biết hai tính năng nào trong Microsoft Word cho phép xem xét các thay đổi và cung cấp phản hồi cho những thay đổi đó? (Chọn 2),Theo dõi thay đổi (Track Changes)|Giúp đỡ (Help)|Nhận xét (Comments)|Phản hồi (Feedback),Theo dõi thay đổi (Track Changes)|Nhận xét (Comments),"Track Changes ghi lại chi tiết các nội dung được chỉnh sửa và Comments cho phép người cộng tác để lại nhận xét, góp ý trên từng đoạn văn bản.",
4,single,"Nếu mật khẩu được sử dụng để bảo vệ tài liệu Microsoft Word bị mất, khoá giải mã có thể khôi phục mật khẩu.",Đúng|Sai,Sai,Microsoft Word sử dụng thuật toán mã hóa mạnh không lưu trữ cửa sau (backdoor); nếu quên mật khẩu thì tài liệu không thể khôi phục tự động bằng khóa giải mã thông thường.,
5,multiple,Phát biểu nào là đúng khi lập phiên bản và khôi phục tài liệu? (Chọn 2),Các phiên bản trước của tập tin có thể được khôi phục|Tính năng So sánh có thể được sử dụng để so sánh hai phiên bản của cùng một tập tin|Tính năng AutoRecover luôn được đặt thành 10 phút trong thời gian dài|Tính năng AutoRecover có thể được thay thế cho việc lưu công việc,Các phiên bản trước của tập tin có thể được khôi phục|Tính năng So sánh có thể được sử dụng để so sánh hai phiên bản của cùng một tập tin,Hệ thống quản lý phiên bản cho phép khôi phục bản lưu cũ và công cụ Compare trong Word giúp đối chiếu sự khác biệt giữa hai phiên bản tài liệu.,
6,single,Mục đích chính của việc lập phiên bản tập tin là gì?,Để cho phép người dùng khôi phục các bản sao trước đó của tập tin|Để xác định xem tập tin là bản nháp hay là bản phát hành tạm thời (chưa phải bản cuối)|Để xác định ngày tập tin được tạo|Để cho phép nhiều người dùng cộng tác trên cùng nội dung tập tin,Để cho phép người dùng khôi phục các bản sao trước đó của tập tin,Lập phiên bản (Version History) bảo đảm an toàn dữ liệu bằng cách cho phép người dùng quay lại và phục hồi bất kỳ mốc trạng thái nào của tài liệu trước đó.,
7,single,"Bạn hãy cho biết, khi tài liệu Word được bảo vệ bằng mật khẩu, thì điều gì sau đây được áp dụng cho tập tin đó?",Tài liệu được đặt thuộc tính chỉ đọc (Read - Only)|Tài liệu được nén lại|Tài liệu được đặt thuộc tính chủ đọc - ghi (Read - Write)|Tài liệu bị mã hoá,Tài liệu bị mã hoá,"Khi đặt mật khẩu bảo vệ tài liệu Word, hệ thống sẽ mã hóa toàn bộ dữ liệu tập tin bằng thuật toán AES để ngăn chặn việc xem trái phép.",
8,multiple,Tuỳ chọn nào sau đây là đúng về mã hoá? (Chọn 2),Tài liệu được mã hoá yêu cầu mật khẩu hoặc khoá kỹ thuật số trước khi có thể mở được|Tập tin được mã hoá là tập tin không thể truyền qua Internet|Tài liệu được mã hoá là các tập tin được đính kèm với chứng chỉ kỹ thuật số|Nội dung của một tập tin được mã hoá chỉ có thể được đọc bởi người có khoá mã hoá,Tài liệu được mã hoá yêu cầu mật khẩu hoặc khoá kỹ thuật số trước khi có thể mở được|Nội dung của một tập tin được mã hoá chỉ có thể được đọc bởi người có khoá mã hoá,Mã hóa bảo vệ nội dung tập tin ở dạng xáo trộn và chỉ những người sở hữu mật khẩu hoặc khóa giải mã tương ứng mới có thể giải mã và đọc được.,
9,single,"Bạn hãy quan sát hình ảnh bên dưới và cho biết, tuỳ chọn nào sau đây dùng để sử dụng tính năng Co-authoring trên tập tin hiện tại?",Thẻ File|Share|Editing|Thẻ Review,Share,Nút Share ở góc trên bên phải thanh tiêu đề cho phép mời người khác cùng cộng tác (Co-authoring) chỉnh sửa văn bản đồng thời theo thời gian thực.,
10,single,Tính năng Compare trong Microsoft Word có thể được sử dụng để so sánh nhiều phiên bản của cùng một tài liệu.,Đúng|Sai,Đúng,"Công cụ Compare (So sánh) trong tab Review cho phép so sánh hai phiên bản của một tài liệu để liệt kê chính xác các điểm thêm, sửa và xóa.",
