id,type,question,options,correct_answers,explanation,image
1,single,Cổ tay của một người nên được đặt như thế nào khi đánh máy để tránh hội chứng ống cổ tay?,Đặt trên bàn|Ở một góc 45 độ|Đặt trên bàn phím|Đặt thẳng,Đặt thẳng,"Theo chuẩn công thái học, cổ tay cần được giữ thẳng tự nhiên và thẳng hàng với cẳng tay, tránh uốn gập lên xuống để hạn chế chèn ép dây thần kinh ống cổ tay.",
2,single,Nên đặt màn hình ở đâu để tránh mỏi mắt khi gõ phím?,Cách một sải tay|Cách nửa sải tay|Cách một bước chân|Cách xa hai sải tay,Cách một sải tay,Khoảng cách công thái học tiêu chuẩn giữa mắt và màn hình là khoảng bằng một chiều dài cánh tay (khoảng 50 - 70 cm).,
3,matrix,"Công việc của bạn đòi hỏi bạn phải làm việc với máy tính nhiều giờ mỗi ngày. Bạn lo lắng rằng bạn sẽ bị mỏi mắt. Đối với mỗi hành động, hãy chọn Có nếu hành động đó gây mỏi mắt hoặc Không nếu không.",COLS: Có | Không /// ROWS: Thường xuyên chớp mắt | Làm việc trong phòng tối | Thường xuyên thay đổi tiêu điểm của bạn từ màn hình máy tính sang một thứ gì đó cách xa bạn ít nhất sáu mét | Đặt màn hình sao cho cách bạn một khoảng bằng cánh tay và phần trên cùng của màn hình ngang tầm mắt của bạn,Thường xuyên chớp mắt: Không | Làm việc trong phòng tối: Có | Thường xuyên thay đổi tiêu điểm của bạn từ màn hình máy tính sang một thứ gì đó cách xa bạn ít nhất sáu mét: Không | Đặt màn hình sao cho cách bạn một khoảng bằng cánh tay và phần trên cùng của màn hình ngang tầm mắt của bạn: Không,Làm việc với màn hình sáng trong phòng tối gây tương phản mạnh khiến mắt bị căng và mỏi rất nhanh; chớp mắt và nhìn xa (quy tắc 20-20-20) giúp giảm mỏi mắt.,
4,matrix,Cơ quan của bạn cung cấp cho bạn một chiếc ghế có thể điều chỉnh độ cao. Bạn cần điều chỉnh ghế của mình để giúp ngăn ngừa chấn thương do căng thẳng thường xuyên (RSI). Hãy chọn Có nếu phát biểu đó giúp ngăn ngừa RSI hoặc Không nếu không.,COLS: Có | Không /// ROWS: Đầu gối của bạn cao hơn hông | Bàn chân của bạn đặt phẳng trên sàn hoặc chỗ để chân | Cánh tay của bạn tạo thành một góc 90 độ với khuỷu tay,Đầu gối của bạn cao hơn hông: Không | Bàn chân của bạn đặt phẳng trên sàn hoặc chỗ để chân: Có | Cánh tay của bạn tạo thành một góc 90 độ với khuỷu tay: Có,"Chống chấn thương RSI đòi hỏi tư thế ngồi chuẩn: bàn chân chạm phẳng trên sàn, khớp khuỷu tay gập góc 90 độ, và đùi song song mặt sàn (đầu gối ngang bằng hông).",
5,multiple,Một người bị choáng ngợp bởi bắt nạt trên mạng có thể làm gì để chống lại tình hình? (Chọn 2),Báo cáo lạm dụng cho những người có thẩm quyền|Tìm kiếm sự trợ giúp từ một chuyên gia được đào tạo|Bỏ qua bắt nạt trên mạng|Phản ứng lại trên mạng,Báo cáo lạm dụng cho những người có thẩm quyền|Tìm kiếm sự trợ giúp từ một chuyên gia được đào tạo,Báo cáo tài khoản quấy rối cho nhà quản trị/cơ quan chức năng và tìm kiếm trợ giúp từ chuyên gia tâm lý/thầy cô là cách xử lý an toàn và đúng đắn.,
6,multiple,Những phát biểu nào là đúng về công thái học phù hợp khi sử dụng bàn phím? (Chọn 2),Bàn chân phải thẳng trên sàn|Các ngón tay nên hơi cong|Màn hình phải cách hai cánh tay|Mắt phải nhìn các ngón tay khi gõ phím,Bàn chân phải thẳng trên sàn|Các ngón tay nên hơi cong,"Bàn chân đặt phẳng trên sàn giúp giữ vững tư thế ngồi, và các ngón tay hơi cong giúp các khớp ngón tay thao tác linh hoạt, giảm áp lực cơ gân.",
7,single,Cánh tay của một người nên đặt ở góc độ nào khi gõ bàn phím?,90|30|75|60,90,Khuỷu tay nên gập ở góc vuông xấp xỉ 90 độ (dao động 90 - 100 độ) để các cơ bắp cánh tay và bả vai được thả lỏng tối đa.,
8,matrix,"Đối với mỗi phát biểu về rủi ro sức khoẻ khi sử dụng công nghệ kỹ thuật số, hãy chọn Đúng nếu đó là tuyên bố đúng hoặc Sai nếu phát biểu đó là sai.","COLS: Đúng | Sai /// ROWS: Để tránh mỏi mắt, bạn nên chớp mắt thường xuyên theo quy tắc ""20-20-20"" | Để giúp tránh rối loạn giấc ngủ, trước khi đi ngủ, hãy sạc điện thoại ở nơi bạn không thể tiếp cận nhưng vẫn có thể nghe thấy | Để tránh nghiện mạng xã hội, bạn nên nghỉ ngơi khi duyệt 3-5 trang mạng xã hội | Để chống lại tình trạng lười vận động, hãy mua một chiếc đồng hồ thể dục để đeo đến trường","Để tránh mỏi mắt, bạn nên chớp mắt thường xuyên theo quy tắc ""20-20-20"": Đúng | Để giúp tránh rối loạn giấc ngủ, trước khi đi ngủ, hãy sạc điện thoại ở nơi bạn không thể tiếp cận nhưng vẫn có thể nghe thấy: Sai | Để tránh nghiện mạng xã hội, bạn nên nghỉ ngơi khi duyệt 3-5 trang mạng xã hội: Sai | Để chống lại tình trạng lười vận động, hãy mua một chiếc đồng hồ thể dục để đeo đến trường: Sai",Quy tắc 20-20-20 là tiêu chuẩn khoa học chống mỏi mắt; điện thoại kêu cạnh giường vẫn phá giấc ngủ; đồng hồ thể dục chỉ hỗ trợ đo đạc chứ không thay thế việc chủ động vận động.,
9,multiple,Đâu là hai ví dụ về hội chứng FOMO (sợ bỏ lỡ)? (Chọn 2),"Bạn lo lắng khi phát hiện ra bạn bè của mình đang vui vẻ trên mạng xã hội mà không có bạn|Đe doạ chia sẻ những bức ảnh đáng xấu hổ nhằm kiểm soát hoặc tống tiền ai đó|Mua trước một bảng điều khiển trò chơi mới để đảm bảo rằng bạn không phải là người duy nhất không có khi sản phẩm được phát hành|Gửi vi rút, phần mềm gián điệp hoặc chương trình xâm nhập cho ai đó để theo dõi họ",Bạn lo lắng khi phát hiện ra bạn bè của mình đang vui vẻ trên mạng xã hội mà không có bạn|Mua trước một bảng điều khiển trò chơi mới để đảm bảo rằng bạn không phải là người duy nhất không có khi sản phẩm được phát hành,FOMO thể hiện qua nỗi bất an khi bị loại khỏi cuộc vui của bạn bè và việc mua sắm thiết bị mới chỉ vì sợ mình là người duy nhất không có.,
10,multiple,Đâu là hai ảnh hưởng của hội chứng FOMO (sợ bỏ lỡ)? (Chọn 2),Suy giảm động lực|Suy giảm lòng tự trọng|Tăng cường sử dụng mạng xã hội|Tăng tính khiêm tốn,Suy giảm lòng tự trọng|Tăng cường sử dụng mạng xã hội,"FOMO thúc đẩy người dùng kiểm tra và sử dụng mạng xã hội nhiều hơn (ám ảnh trực tuyến), đồng thời làm xói mòn lòng tự trọng do liên tục so bì với hình ảnh hoàn hảo của người khác.",
