id,type,question,options,correct_answers,explanation,image
1,single,"Bạn cần tìm các trình điều khiển (Driver) cho máy tính xách tay chạy Windows 10. Trình quản lý thiết bị hiển thị ""thiết bị không xác định"" đối với một vài thành phần thiết bị. Bạn nên làm gì?","Sử dụng số dòng máy (Model Number) của máy để tìm Driver trên trang Web của nhà sản xuất máy tính xách tay|Mua phần mềm cài đặt Driver từ cửa hàng đã bán máy tính|Khởi động lại máy tính và sử dụng công cụ sửa chữa cho Windows 10|Từ trình quản lý thiết bị, tìm nhanh các thay đổi phần cứng",Sử dụng số dòng máy (Model Number) của máy để tìm Driver trên trang Web của nhà sản xuất máy tính xách tay,"Tra cứu số Model Number trên website chính thức của nhà sản xuất giúp tải về gói Driver chính xác, đầy đủ và an toàn nhất cho từng linh kiện.",
2,multiple,Người dùng nhấn nút nguồn nhưng máy tính không khởi động. Người dùng có thể thực hiện hành động nào sau đây để khắc phục sự cố? (Chọn 3),Đảm bảo đã cắm dây nguồn|Xem cầu dao có bị nổ không|Chuyển sang một máy tính mới|Đảm bảo ổ cắm đang hoạt động|Chờ 24 giờ trước khi thử bật lại máy tính,Đảm bảo đã cắm dây nguồn|Xem cầu dao có bị nổ không|Đảm bảo ổ cắm đang hoạt động,"Khi máy không có điện, cần kiểm tra các nguyên nhân về nguồn: dây nguồn đã cắm chặt, ổ cắm có điện và cầu dao/aptomat nguồn không bị sập.",
3,single,Bạn có thể sử dụng tổ hợp phím nào sau đây để lưu tài liệu?,Ctrl+D|Ctrl+S|Ctrl+P|Ctrl+C,Ctrl+S,Tổ hợp phím chuẩn để Lưu tài liệu (Save) trên các ứng dụng máy tính là Ctrl + S.,
4,multiple,Loại tập tin WAV thường được sử dụng cho những loại phương tiện nào? (Chọn 3),DVDs|Web videos|TV|Web pages|CDs|Social media posts,DVDs|TV|CDs,"Định dạng âm thanh không nén WAV (Waveform Audio File Format) có chất lượng âm thanh nguyên bản cao, thường được dùng trong đĩa quang (CDs, DVDs) và sản xuất chương trình truyền hình (TV).",
5,multiple,Người dùng có thể tìm thấy tính năng phổ biến nào trong phần mềm Adobe? (Chọn 3),Dialog Box|Task Ribbon|Options Bar|Toolbox|Menu Bar,Options Bar|Toolbox|Menu Bar,"Giao diện phần mềm đồ họa của Adobe (như Photoshop, Illustrator) có các thành phần đặc trưng gồm thanh công cụ (Toolbox), thanh tùy chọn công cụ (Options Bar) và thanh trình đơn (Menu Bar).",
6,single,"Microsoft Office được biết đến với việc giúp bạn dễ dàng sử dụng các tính năng phổ biến trên các ứng dụng tương tự như Word, Excel và PowerPoint. Giao diện người dùng nào sau đây giúp bạn dễ dàng sử dụng các tính năng chung trên các ứng dụng Microsoft Office?",Task Bar|Options Menu|Panels|Ribbon,Ribbon,"Thanh Ribbon là dải giao diện người dùng đồng bộ nằm ở phía trên cùng của các ứng dụng Microsoft Office, chứa toàn bộ các tab lệnh và công cụ thông dụng.",
7,multiple,Tùy chọn nào sau đây là đúng với tập tin có độ phân giải cao so với tập tin có độ phân giải thấp? (Chọn 3),Thời gian tải xuống ngắn hơn|Kích thước tập tin lớn hơn|Số lượng pixel bị giảm|Độ sắc nét và rõ ràng hơn|Thời gian tải xuống lâu hơn,Kích thước tập tin lớn hơn|Độ sắc nét và rõ ràng hơn|Thời gian tải xuống lâu hơn,"Tệp hình ảnh/video có độ phân giải cao chứa nhiều pixel hơn nên hiển thị sắc nét hơn, dung lượng tệp lớn hơn và mất nhiều thời gian tải về hơn.",
8,single,"Bạn hãy cho biết, phát biểu sau đây là Đúng hay Sai: ""Các thiết bị cũ có thể phát nội dung HD tốt tương tự như các thiết bị mới hơn, vì vậy bạn nên luôn xuất ra định dạng 1080p là một ý tưởng tốt.""",Đúng|Sai,Sai,"Các thiết bị cũ có thể không đủ cấu hình giải mã hoặc màn hình không đạt chuẩn Full HD để phát mượt nội dung 1080p, do đó luôn xuất 1080p không phải là lựa chọn tối ưu cho mọi thiết bị.",
9,single,Định dạng tập tin Video phổ biến nhất được sử dụng để đăng lên mạng xã hội là gì?,JPEG|PRO|MP4|SAV,MP4,"Định dạng MP4 (chuẩn nén H.264/AAC) có độ tương thích cao nhất trên tất cả các trình duyệt và nền tảng mạng xã hội (Facebook, YouTube, TikTok,...).",
10,multiple,Những phím tắt nào được sử dụng phổ biến trên các ứng dụng phần mềm? (Chọn 2),Ctrl+P|Ctrl+D|Ctrl+C|Shift+P|Shift+S,Ctrl+P|Ctrl+C,Ctrl + C (Sao chép) và Ctrl + P (In ấn) là hai tổ hợp phím tắt chuẩn mực được hỗ trợ rộng rãi trên hầu hết mọi ứng dụng.,
